PRN             t(GNSS TIME)/s                 X/m                 Y/m                 Z/m               toe/s
G02              2100.00000000  -18725903.41342643   14790316.92903439   12161419.31678854       5084.00000000
G02              2400.00000000  -19148595.43401490   14851153.53201110   11357508.51158859       4784.00000000
G02              2700.00000000  -19542010.65216818   14909157.29370429   10532340.56466456       4484.00000000
G02              3000.00000000  -19905670.45550285   14962890.18809921    9687413.60027773       4184.00000000
G02              3300.00000000  -20239195.96196291   15010899.57480278    8824269.29801574       3884.00000000
G02              3600.00000000  -20542309.50585854   15051724.79657060    7944490.54541892       3584.00000000
G02              3900.00000000  -20814835.72753967   15083903.87894849    7049698.96967228       3284.00000000
G02              4200.00000000  -21056702.25705258   15105980.30573886    6141552.34835353       2984.00000000
G02              4500.00000000  -21267939.98354722   15116509.84303992    5221741.89971122       2684.00000000
G02              4800.00000000  -21448682.90371478   15114067.38372296    4291989.45346993       2384.00000000
G02              5100.00000000  -21599167.54414047   15097253.78342044    3354044.50372293       2084.00000000
G02              5400.00000000  -21719731.95415099   15064702.65840500    2409681.14607302       1784.00000000
G02              5700.00000000  -21810814.26751577   15015087.11515940    1460694.90181755       1484.00000000
G02              6000.00000000  -21872950.83322241   14947126.38097969     508899.43264234       1184.00000000
G02              6300.00000000  -21906773.91748194   14859592.30463007    -443876.85001538        884.00000000
G02              6600.00000000  -21913008.98112260   14751315.69588856   -1395794.27605313        584.00000000
G02              6900.00000000  -21892471.53859220   14621192.47279819   -2345005.50261525        284.00000000
G02              7200.00000000  -21846063.60690024   14468189.58557845   -3289659.18845238         16.00000000
G02              7500.00000000  -21774769.75497894   14291350.68646531   -4227903.74958405        316.00000000
G02              7800.00000000  -21679652.76611703   14089801.51524331   -5157891.18835256        616.00000000
G02              8100.00000000  -21561848.92830608   13862754.97091757   -6077780.98719161        916.00000000
G02              8400.00000000  -21422562.96952305   13609515.84085104   -6985744.05768008       1216.00000000
G02              8700.00000000  -21263062.65713846   13329485.15976969   -7879966.73471592       1516.00000000
G02              9000.00000000  -21084673.08277021   13022164.17231572   -8758654.80493614       1816.00000000
G02              9300.00000000  -20888770.65598207   12687157.87430864   -9620037.55783362       2116.00000000
G02              9600.00000000  -20676776.83223452   12324178.10955434  -10462371.84738827       2416.00000000
G02              9900.00000000  -20450151.60241579   11933046.20092029  -11283946.15144673       2716.00000000
G02             10200.00000000  -20210386.77309398   11513695.09646470  -12083084.61555969       3016.00000000
G02             10500.00000000  -19958999.06831863   11066171.01366175  -12858151.06752612       3316.00000000
G02             10800.00000000  -19697523.16661908   10590634.21379768  -13607553.16588480       3600.00000000
G02             11100.00000000  -19427504.20844913   10087360.93254431  -14329745.68073088       3300.00000000
